@attribute ROOM {2151,2152,2153,2131,2130,2123,2124,}

@data

43,67,79,85,0,42,68,80,85,0,78,0,78,0,64,0,0,64,0,90,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,92,88,0,0,0,0,0,0,0,0,0,0,2131
51,72,84,85,0,50,71,84,85,0,79,85,78,0,76,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,0,0,0,2131
44,63,80,78,0,45,63,79,78,0,77,85,77,0,67,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,0,0,0,2131
44,73,80,82,0,44,73,79,82,0,77,0,77,0,64,0,85,65,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
45,75,0,82,0,46,76,0,82,0,81,0,81,0,73,0,85,73,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,90,92,0,0,0,0,0,0,0,0,0,0,2131
41,63,88,74,82,42,63,69,76,82,75,76,75,75,67,0,84,68,82,85,0,0,0,0,0,83,81,0,0,0,87,84,0,0,0,0,0,0,0,77,75,0,0,0,0,0,0,0,0,0,0,2130
42,73,88,82,0,42,73,0,81,0,70,0,69,0,64,0,84,63,82,84,0,0,0,0,0,0,80,0,0,0,86,84,0,0,0,0,0,85,90,0,0,0,0,0,0,0,0,0,0,0,0,2130
34,66,78,74,0,34,64,83,74,0,73,0,76,0,63,0,83,63,0,84,0,0,0,0,0,0,80,0,0,0,86,0,0,0,0,0,84,85,90,0,0,0,0,0,0,0,0,0,0,0,0,2130
43,61,78,76,0,42,62,83,77,0,71,0,72,0,68,0,83,68,0,0,0,0,0,0,0,0,82,0,0,0,86,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
44,71,0,76,0,44,70,0,76,0,76,0,78,0,74,0,83,76,82,84,0,0,0,0,0,0,82,0,0,0,87,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
35,66,81,76,0,35,66,84,76,0,79,0,77,0,70,87,83,70,82,84,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
41,66,81,78,0,42,66,84,78,0,76,0,75,0,73,84,0,73,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,91,92,0,0,0,0,0,0,0,0,0,0,2130
53,69,0,78,0,53,67,0,78,0,77,0,78,0,69,84,0,69,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,91,92,0,0,0,0,0,0,0,0,0,0,2130
42,64,84,77,0,42,64,82,77,0,75,0,75,0,73,0,0,72,86,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
51,70,90,70,0,51,69,83,71,0,78,0,75,0,73,0,82,71,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,0,0,0,2130
43,69,90,79,0,43,67,83,78,0,78,0,75,0,75,0,82,74,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,88,88,0,0,0,0,0,0,0,0,0,0,2130
48,63,0,77,0,48,64,0,78,0,81,0,81,0,69,0,0,69,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
46,65,88,81,93,46,66,0,79,0,76,0,77,0,68,0,0,67,0,0,0,0,0,0,0,0,81,86,0,0,0,84,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,2130
47,64,87,74,93,47,65,0,74,0,76,0,80,0,72,83,0,72,0,0,0,0,0,0,0,0,84,86,0,0,0,84,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,2130
